
[Sun Sep 06 21:40:44.889423 2020] [php7:notice] [pid 8787] [client 127.0.0.1:57606] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=2&y=-4.5151&radius=3&check=check
[Sun Sep 06 21:40:44.889458 2020] [php7:notice] [pid 8787] [client 127.0.0.1:57606] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=2&y=-4.5151&radius=3&check=check
[Sun Sep 06 21:43:14.901799 2020] [php7:notice] [pid 8835] [client 127.0.0.1:57742] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.02202020&radius=2&check=check
[Sun Sep 06 21:43:14.901860 2020] [php7:notice] [pid 8835] [client 127.0.0.1:57742] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.02202020&radius=2&check=check
[Sun Sep 06 21:44:34.775575 2020] [php7:notice] [pid 8791] [client 127.0.0.1:57748] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.00020&radius=5&check=check
[Sun Sep 06 21:44:34.775624 2020] [php7:notice] [pid 8791] [client 127.0.0.1:57748] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.00020&radius=5&check=check
[Sun Sep 06 21:48:04.959368 2020] [php7:notice] [pid 8835] [client 127.0.0.1:58006] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=-1&y=-4.00.02022.0&radius=4&check=check
[Sun Sep 06 21:48:04.959405 2020] [php7:notice] [pid 8835] [client 127.0.0.1:58006] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=-1&y=-4.00.02022.0&radius=4&check=check
[Sun Sep 06 21:50:18.046486 2020] [php7:notice] [pid 8791] [client 127.0.0.1:58108] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=-1&y=-4.00.02022.0&radius=4&check=check
[Sun Sep 06 21:50:18.046523 2020] [php7:notice] [pid 8791] [client 127.0.0.1:58108] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=-1&y=-4.00.02022.0&radius=4&check=check
[Sun Sep 06 21:50:41.505767 2020] [php7:notice] [pid 8787] [client 127.0.0.1:58112] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.50.0.00&radius=3&check=check
[Sun Sep 06 21:50:41.505801 2020] [php7:notice] [pid 8787] [client 127.0.0.1:58112] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.50.0.00&radius=3&check=check
[Sun Sep 06 22:02:58.013448 2020] [php7:notice] [pid 8788] [client 127.0.0.1:58220] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.50.0.00&radius=3&check=check
[Sun Sep 06 22:02:58.013485 2020] [php7:notice] [pid 8788] [client 127.0.0.1:58220] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.50.0.00&radius=3&check=check
[Sun Sep 06 22:03:37.270400 2020] [php7:notice] [pid 8835] [client 127.0.0.1:58224] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=1&y=4.0020.0.20&radius=4&check=check
[Sun Sep 06 22:03:37.270434 2020] [php7:notice] [pid 8835] [client 127.0.0.1:58224] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=1&y=4.0020.0.20&radius=4&check=check
[Sun Sep 06 22:04:31.584991 2020] [php7:notice] [pid 8791] [client 127.0.0.1:58228] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=1&y=4.0020.0.20&radius=4&check=check
[Sun Sep 06 22:04:31.585029 2020] [php7:notice] [pid 8791] [client 127.0.0.1:58228] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=1&y=4.0020.0.20&radius=4&check=check
[Sun Sep 06 22:04:38.974982 2020] [php7:notice] [pid 8787] [client 127.0.0.1:58232] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.00.02022.0&radius=4&check=check
[Sun Sep 06 22:04:38.975036 2020] [php7:notice] [pid 8787] [client 127.0.0.1:58232] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.00.02022.0&radius=4&check=check
[Sun Sep 06 22:05:54.083052 2020] [php7:notice] [pid 9266] [client 127.0.0.1:58236] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.00.02022.0&radius=4&check=check
[Sun Sep 06 22:05:54.083091 2020] [php7:notice] [pid 9266] [client 127.0.0.1:58236] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=0&y=-4.00.02022.0&radius=4&check=check
[Sun Sep 06 22:07:57.066768 2020] [php7:notice] [pid 8790] [client 127.0.0.1:58246] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 129
[Sun Sep 06 22:07:57.066803 2020] [php7:notice] [pid 8790] [client 127.0.0.1:58246] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 130
[Sun Sep 06 22:07:57.066813 2020] [php7:notice] [pid 8790] [client 127.0.0.1:58246] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 22:08:04.567230 2020] [php7:notice] [pid 8835] [client 127.0.0.1:58248] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/
[Sun Sep 06 22:08:04.567270 2020] [php7:notice] [pid 8835] [client 127.0.0.1:58248] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/
[Sun Sep 06 22:08:11.691683 2020] [php7:notice] [pid 8789] [client 127.0.0.1:58252] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=1&y=-4&radius=2&check=check
[Sun Sep 06 22:08:11.691717 2020] [php7:notice] [pid 8789] [client 127.0.0.1:58252] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=1&y=-4&radius=2&check=check
[Sun Sep 06 22:22:18.204067 2020] [php7:notice] [pid 9266] [client 127.0.0.1:58394] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=1&y=-4&radius=3&check=check
[Sun Sep 06 22:22:18.204102 2020] [php7:notice] [pid 9266] [client 127.0.0.1:58394] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 146, referer: http://php_practice.com/?x=1&y=-4&radius=3&check=check
[Sun Sep 06 22:25:54.585779 2020] [php7:notice] [pid 8788] [client 127.0.0.1:58406] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 144, referer: http://php_practice.com/?x=-2&y=-4&radius=2&check=check
[Sun Sep 06 22:25:54.585814 2020] [php7:notice] [pid 8788] [client 127.0.0.1:58406] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 144, referer: http://php_practice.com/?x=-2&y=-4&radius=2&check=check
[Sun Sep 06 22:26:10.715797 2020] [php7:notice] [pid 9266] [client 127.0.0.1:58408] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 144, referer: http://php_practice.com/?x=1&y=-4&radius=2&check=check
[Sun Sep 06 22:26:10.715829 2020] [php7:notice] [pid 9266] [client 127.0.0.1:58408] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 144, referer: http://php_practice.com/?x=1&y=-4&radius=2&check=check
[Sun Sep 06 22:29:55.088835 2020] [php7:notice] [pid 8790] [client 127.0.0.1:58410] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 144, referer: http://php_practice.com/?x=0&y=-4&radius=3&check=check
[Sun Sep 06 22:29:55.088888 2020] [php7:notice] [pid 8790] [client 127.0.0.1:58410] PHP Notice:  A non well formed numeric value encountered in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 144, referer: http://php_practice.com/?x=0&y=-4&radius=3&check=check
[Sun Sep 06 22:38:51.793956 2020] [php7:error] [pid 8788] [client 127.0.0.1:58570] PHP Fatal error:  Uncaught Error: Unsupported operand types in /home/comeillfoo/itmo/c2/web/php_practice/index.php:144\nStack trace:\n#0 {main}\n  thrown in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 144, referer: http://php_practice.com/?x=2&y=-4&radius=3&check=check
[Sun Sep 06 22:38:59.019419 2020] [php7:error] [pid 10058] [client 127.0.0.1:58574] PHP Fatal error:  Uncaught Error: Unsupported operand types in /home/comeillfoo/itmo/c2/web/php_practice/index.php:144\nStack trace:\n#0 {main}\n  thrown in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 144, referer: http://php_practice.com/?x=2&y=-4&radius=3&check=check
[Sun Sep 06 22:39:07.101964 2020] [php7:error] [pid 8791] [client 127.0.0.1:58578] PHP Fatal error:  Uncaught Error: Unsupported operand types in /home/comeillfoo/itmo/c2/web/php_practice/index.php:144\nStack trace:\n#0 {main}\n  thrown in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 144, referer: http://php_practice.com/?x=2&y=-4&radius=3&check=check
[Sun Sep 06 22:39:07.824019 2020] [php7:error] [pid 8835] [client 127.0.0.1:58580] PHP Fatal error:  Uncaught Error: Unsupported operand types in /home/comeillfoo/itmo/c2/web/php_practice/index.php:144\nStack trace:\n#0 {main}\n  thrown in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 144, referer: http://php_practice.com/?x=2&y=-4&radius=3&check=check
[Sun Sep 06 22:39:10.148304 2020] [php7:notice] [pid 8787] [client 127.0.0.1:58582] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 129
[Sun Sep 06 22:39:10.148336 2020] [php7:notice] [pid 8787] [client 127.0.0.1:58582] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 130
[Sun Sep 06 22:39:10.148345 2020] [php7:notice] [pid 8787] [client 127.0.0.1:58582] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 22:44:40.874225 2020] [php7:error] [pid 8791] [client 127.0.0.1:58614] PHP Parse error:  syntax error, unexpected end of file, expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF) in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 174, referer: http://php_practice.com/?x=0&y=-4&radius=2&check=check
[Sun Sep 06 22:44:44.935434 2020] [php7:error] [pid 8835] [client 127.0.0.1:58616] PHP Parse error:  syntax error, unexpected end of file, expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF) in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 174, referer: http://php_practice.com/?x=0&y=-4&radius=2&check=check
[Sun Sep 06 22:44:46.963291 2020] [php7:error] [pid 8787] [client 127.0.0.1:58618] PHP Parse error:  syntax error, unexpected end of file, expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF) in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 174
[Sun Sep 06 22:46:10.107024 2020] [php7:warn] [pid 8789] [client 127.0.0.1:58620] PHP Warning:  count() expects at least 1 parameter, 0 given in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 108
[Sun Sep 06 22:46:10.107061 2020] [php7:notice] [pid 8789] [client 127.0.0.1:58620] PHP Notice:  Array to string conversion in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 108
[Sun Sep 06 22:46:10.107153 2020] [php7:notice] [pid 8789] [client 127.0.0.1:58620] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 22:46:10.107166 2020] [php7:notice] [pid 8789] [client 127.0.0.1:58620] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 132
[Sun Sep 06 22:46:10.107188 2020] [php7:notice] [pid 8789] [client 127.0.0.1:58620] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 133
[Sun Sep 06 22:46:15.070413 2020] [php7:warn] [pid 8789] [client 127.0.0.1:58620] PHP Warning:  count() expects at least 1 parameter, 0 given in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 108, referer: http://php_practice.com/
[Sun Sep 06 22:46:15.070492 2020] [php7:notice] [pid 8789] [client 127.0.0.1:58620] PHP Notice:  Array to string conversion in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 108, referer: http://php_practice.com/
[Sun Sep 06 22:46:20.396181 2020] [php7:warn] [pid 10058] [client 127.0.0.1:58624] PHP Warning:  count() expects at least 1 parameter, 0 given in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 108, referer: http://php_practice.com/?x=-1&y=-4&radius=3&check=check
[Sun Sep 06 22:46:20.396217 2020] [php7:notice] [pid 10058] [client 127.0.0.1:58624] PHP Notice:  Array to string conversion in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 108, referer: http://php_practice.com/?x=-1&y=-4&radius=3&check=check
[Sun Sep 06 22:46:47.551449 2020] [php7:warn] [pid 9266] [client 127.0.0.1:58626] PHP Warning:  count() expects at least 1 parameter, 0 given in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 108, referer: http://php_practice.com/?x=1&y=-4&radius=1&check=check
[Sun Sep 06 22:46:47.551504 2020] [php7:notice] [pid 9266] [client 127.0.0.1:58626] PHP Notice:  Array to string conversion in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 108, referer: http://php_practice.com/?x=1&y=-4&radius=1&check=check
[Sun Sep 06 22:52:17.508902 2020] [php7:notice] [pid 8789] [client 127.0.0.1:58752] PHP Notice:  Undefined index: x in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 131
[Sun Sep 06 22:52:17.508937 2020] [php7:notice] [pid 8789] [client 127.0.0.1:58752] PHP Notice:  Undefined index: radius in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 132
[Sun Sep 06 22:52:17.508947 2020] [php7:notice] [pid 8789] [client 127.0.0.1:58752] PHP Notice:  Undefined index: y in /home/comeillfoo/itmo/c2/web/php_practice/index.php on line 133
